id,strain,sex,birthdate,start_bw,end_bw,TA,exp_id,start_datetime,end_datetime,genotype
QD-0132,QD#0008(cre-delta-pA/+)_F2,male,2024-02-29,27.12,27.84,20,20240610_3_QTEST_20C_217,2024-06-11 08:00:00,2024-06-14 08:00:00,QD_hetero
QD-0139,QD#0007(cre-delta-pA/+)_F2,male,2024-03-08,26.98,27.67,20,20240610_3_QTEST_20C_217,2024-06-11 08:00:00,2024-06-14 08:00:00,QD_hetero
QD-0145,QD#0008(cre-delta-pA/+)_F3,male,2024-03-25,27.77,27.45,20,20240701_4_QTEST_20C_218,2024-07-02 08:00:00,2024-07-05 08:00:00,QD_hetero
QD-0153,QD#0011(cre-delta-pA/+)_F3,male,2024-03-28,26.25,25.95,20,20240701_4_QTEST_20C_218,2024-07-02 08:00:00,2024-07-05 08:00:00,QD_hetero
QD-0174,QD#0008(cre-delta-pA/cre-delta-pA),female,2024-06-01,22.16,22.27,20,20240909_2_QTEST_20C_227,2024-09-10 08:00:00,2024-09-13 08:00:00,QD_homo
QD-0175,QD#0008(cre-delta-pA/cre-delta-pA),female,2024-06-01,18.13,17.84,20,20240909_2_QTEST_20C_227,2024-09-10 08:00:00,2024-09-13 08:00:00,QD_homo
QD-0176,QD#0008(cre-delta-pA/cre-delta-pA),female,2024-06-01,21.82,20.98,20,20240909_2_QTEST_20C_227,2024-09-10 08:00:00,2024-09-13 08:00:00,QD_homo
QD-0195,QD#0008(cre-delta-pA/cre-delta-pA),male,2024-06-30,27.26,27.32,20,20240930_4_QTEST_20C_229,2024-10-01 08:00:00,2024-10-04 08:00:00,QD_homo
QD-0197,QD#0008(cre-delta-pA/cre-delta-pA),male,2024-06-30,26.68,26.3,20,20240930_4_QTEST_20C_229,2024-10-01 08:00:00,2024-10-04 08:00:00,QD_homo
QI-0046,Qrfp;IRES-icre#0009(+/-),female,2022-04-08,21.34,22.27,20,20220627_3_QTEST_20C_106,2022-06-27 08:00:00,2022-06-30 08:00:00,QI_hetero
QI-0047,Qrfp;IRES-icre#0009(+/-),male,2022-04-08,29.08,28.59,20,20220627_3_QTEST_20C_106,2022-06-27 08:00:00,2022-06-30 08:00:00,QI_hetero
QI-0048,Qrfp;IRES-icre#0009(+/-),male,2022-04-08,28.44,26.42,20,20220627_3_QTEST_20C_106,2022-06-27 08:00:00,2022-06-30 08:00:00,QI_hetero
QI-0095,Qrfp-IRES-iCre#0009(+/-)_F2,male,2022-09-16,31.98,31.76,20,20230113_4_QTEST_20C_137,2023-01-13 08:00:00,2023-01-16 08:00:00,QI_hetero
QI-0096,Qrfp-IRES-iCre#0009(+/-)_F2,male,2022-09-16,30.32,31.29,20,20230113_4_QTEST_20C_137,2023-01-13 08:00:00,2023-01-16 08:00:00,QI_hetero
QI-0097,Qrfp-IRES-iCre#0009(+/-)_F2,female,2022-09-25,23.32,24.26,20,20230113_4_QTEST_20C_137,2023-01-13 08:00:00,2023-01-16 08:00:00,QI_hetero
QI-0098,Qrfp-IRES-iCre#0009(+/-)_F2,female,2022-09-25,24.03,24.56,20,20230113_4_QTEST_20C_137,2023-01-13 08:00:00,2023-01-16 08:00:00,QI_hetero
QI-0119,Qrfp;IRES-iCre#0009(+/+),female,2022-12-15,22.36,22.64,20,20230314_2_QTEST_20C_142,2023-03-14 08:00:00,2023-03-17 08:00:00,QI_homo
QI-0125,Qrfp;IRES-iCre#0009(+/+),male,2022-12-16,27.66,26.11,20,20230314_2_QTEST_20C_142,2023-03-14 08:00:00,2023-03-17 08:00:00,QI_homo
QI-0129,Qrfp;IRES-iCre#0009(+/+),female,2022-12-16,20.26,20.29,20,20230314_2_QTEST_20C_142,2023-03-14 08:00:00,2023-03-17 08:00:00,QI_homo
QI-0120,Qrfp;IRES-iCre#0009(+/-),female,2022-12-15,23.86,23.85,20,20230404_4_QTEST_20C_144,2023-04-04 08:00:00,2023-04-07 08:00:00,QI_hetero
QI-0126,Qrfp;IRES-iCre#0009(+/-),male,2022-12-16,29.38,29.95,20,20230414_4_QTEST_20C_145,2023-04-14 08:00:00,2023-04-17 08:00:00,QI_hetero
QI-0127,Qrfp;IRES-iCre#0009(+/-),female,2022-12-16,22.93,23.58,20,20230414_4_QTEST_20C_145,2023-04-14 08:00:00,2023-04-17 08:00:00,QI_hetero
QI-0128,Qrfp;IRES-iCre#0009(+/-),female,2022-12-16,22.37,22.46,20,20230414_4_QTEST_20C_145,2023-04-14 08:00:00,2023-04-17 08:00:00,QI_hetero
QI-0130,Qrfp;IRES-iCre#0009(+/-),female,2022-12-16,23.75,23.88,20,20230414_4_QTEST_20C_145,2023-04-14 08:00:00,2023-04-17 08:00:00,QI_hetero
QI-0171,Qrfp;IRES-iCre#0133(+/-)_F1,female,2023-03-16,22.78,22.85,20,20230630_3_QTEST_20C_157,2023-06-30 08:00:00,2023-07-03 08:00:00,QI_hetero
QI-0174,Qrfp;IRES-iCre#0133(+/-)_F1,male,2023-03-16,28.88,28.68,20,20230630_3_QTEST_20C_157,2023-06-30 08:00:00,2023-07-03 08:00:00,QI_hetero
QI-0180,Qrfp;IRES-iCre#0132(+/-)_F1,male,2023-03-19,31,30.14,20,20230822_4_QTEST_20C_170,2023-08-22 08:00:00,2023-08-25 08:00:00,QI_hetero
QI-0181,Qrfp;IRES-iCre#0132(+/-)_F1,male,2023-03-19,33.89,32.26,20,20230822_4_QTEST_20C_170,2023-08-22 08:00:00,2023-08-25 08:00:00,QI_hetero
QI-0184,Qrfp;IRES-iCre#0132(+/-)_F1,male,2023-03-19,30.67,30.12,20,20230822_4_QTEST_20C_170,2023-08-22 08:00:00,2023-08-25 08:00:00,QI_hetero
QI-0200,Qrfp;IRES-iCre#0133(+/-)_F2,male,2023-05-31,24.64,21.01,20,20230822_4_QTEST_20C_170,2023-08-22 08:00:00,2023-08-25 08:00:00,QI_hetero
QI-0201,Qrfp;IRES-iCre#0133(+/-)_F2,male,2023-05-31,25.9,26.07,20,20230822_4_QTEST_20C_170,2023-08-22 08:00:00,2023-08-25 08:00:00,QI_hetero
QI-0179,Qrfp;IRES-iCre#0132(+/-)_F1,male,2023-03-19,28.98,28.79,20,20230822_4_QTEST_20C_170,2023-08-22 08:00:00,2023-08-25 08:00:00,QI_hetero
QT-0033,"""Qrfp;T2A-icre#0009(+/-)""",female,2022-05-31,21.65,22.05,20,20220822_3_QTEST_20C_116,2022-08-22 08:00:00,2022-08-25 08:00:00,QT_hetero
QT-0034,"""Qrfp;T2A-icre#0009(+/-)""",male,2022-05-31,27.38,27.97,20,20220822_3_QTEST_20C_116,2022-08-22 08:00:00,2022-08-25 08:00:00,QT_hetero
QT-0035,"""Qrfp;T2A-icre#0009(+/-)""",male,2022-05-31,25.58,25.53,20,20220822_3_QTEST_20C_116,2022-08-22 08:00:00,2022-08-25 08:00:00,QT_hetero
QT-0146,Qrfp;T2A-icre#0009(+/-)_F2,female,2022-07-23,22.87,21.78,20,20221101_3_QTEST_20C_130,2022-11-01 08:00:00,2022-11-04 08:00:00,QT_hetero
QT-0147,Qrfp;T2A-icre#0009(+/-)_F2,female,2022-07-23,21.97,22.36,20,20221101_3_QTEST_20C_130,2022-11-01 08:00:00,2022-11-04 08:00:00,QT_hetero
QT-0152,Qrfp;T2A-icre#0009(+/-)_F2,male,2022-07-23,27.46,27.83,20,20221101_3_QTEST_20C_130,2022-11-01 08:00:00,2022-11-04 08:00:00,QT_hetero
QT-0153,Qrfp;T2A-icre#0009(+/-)_F2,male,2022-07-23,26.2,26.72,20,20221101_3_QTEST_20C_130,2022-11-01 08:00:00,2022-11-04 08:00:00,QT_hetero
QT-0167,Qrfp;T2A-icre#0009(+/-)_F3,female,2022-09-06,22.51,23.56,20,20221227_3_QTEST_20C_136,2022-12-27 08:00:00,2022-12-30 08:00:00,QT_hetero
QT-0169,Qrfp;T2A-icre#0009(+/-)_F3,male,2022-09-06,29.62,29.01,20,20221227_3_QTEST_20C_136,2022-12-27 08:00:00,2022-12-30 08:00:00,QT_hetero
QT-0259,Qrfp;T2A-iCre#0009(+/+),female,2022-12-06,22.54,21.78,20,20230306_4_QTEST_20C_141,2023-03-06 08:00:00,2023-03-09 08:00:00,QT_homo
QT-0283,Qrfp;T2A-iCre#0194(+/-)_F1,female,2023-01-29,22.85,23.41,20,20230519_3_QTEST_20C_152,2023-05-19 08:00:00,2023-05-22 08:00:00,QT_hetero
QT-0285,Qrfp;T2A-iCre#0194(+/-)_F1,male,2023-01-29,27.86,28.46,20,20230519_3_QTEST_20C_152,2023-05-19 08:00:00,2023-05-22 08:00:00,QT_hetero
QT-0291,Qrfp;T2A-iCre#0009(+/+),female,2023-02-01,21.47,21.77,20,20230519_3_QTEST_20C_152,2023-05-19 08:00:00,2023-05-22 08:00:00,QT_homo
QT-0292,Qrfp;T2A-iCre#0009(+/+),female,2023-02-01,22.6,22.81,20,20230519_3_QTEST_20C_152,2023-05-19 08:00:00,2023-05-22 08:00:00,QT_homo
QT-0294,Qrfp;T2A-iCre#0009(+/+),male,2023-02-01,27.56,27.23,20,20230519_3_QTEST_20C_152,2023-05-19 08:00:00,2023-05-22 08:00:00,QT_homo
QT-0313,Qrfp;T2A-iCre#0215(+/-)_F1,female,2023-03-12,22.4,23.06,20,20230613_4_QTEST_20C_156,2023-06-13 08:00:00,2023-06-16 08:00:00,QT_hetero
QT-0314,Qrfp;T2A-iCre#0215(+/-)_F1,female,2023-03-12,23.32,23.43,20,20230613_4_QTEST_20C_156,2023-06-13 08:00:00,2023-06-16 08:00:00,QT_hetero
QT-0413,Qrfp;T2A-iCre#0194(+/-)_F4,male,2023-09-21,29.47,29.74,20,20240115_4_QTEST_20C_195,2024-01-16 08:00:00,2024-01-19 08:00:00,QT_hetero
